नागरिकता जारी जिल्ला,count
धनषु ा,6
झापा,5
काठमाड,4
सुनसर,4
बारा,4
भतपुर,3
नुवाकोट,3
धादङ,3
बागलुङ,3
ओखलढुगा,3
बदया,3
सतर,3
सोलुखु बु,2
मकवानपुर,2
कचनपुर,2
मोरङ,2
कैलाल,2
रौतहट,2
पापा,2
बाँके,2
महोर,2
दाङ,2
अघाखाँची,2
पदेह,2
पाँचथर,1
मुताङ,1
संखुवासभा,1
ते थुम,1
काक,1
सधुपाचोक,1
हुला,1
रसुवा,1
तालेजङु,1
नवलपरासी (बदघाट सुता पिचम),1
इलाम,1
दोलखा,1
रोपा,1
याङजा,1
चतवन,1
मनाङ,1
दैलेख,1
उदयपुर,1
कपलवतु,1
पसा,1
सलाह,1
कुम (पिचम भाग),1
अछाम,1
मुगु,1
पवत,1
डँडले धुरा,1
