नागरिकता जारी जिल्ला,count
सर्लाही,7
काठमाडौं,4
सुनसरी,3
मोरङ,2
दोलखा,2
जुम्ला,2
गोरखा,2
सिन्धुली,1
काभ्रेपलान्चोक,1
खोटाङ,1
ललितपुर,1
सिन्धुपाल्चोक,1
तेह्रथुम,1
