नागरिकता जारी जिल्ला,count
सिराहा,14
पर्सा,13
मोरङ,10
धनुषा,8
रौतहट,6
सर्लाही,5
महोत्तरी,5
काठमाडौं,5
बारा,5
सुनसरी,4
काभ्रेपलान्चोक,4
बझाङ,3
मकवानपुर,3
नवलपरासी,3
कपिलवस्तु,3
चितवन,2
बाँके,2
कञ्चनपुर,1
दाङ,1
नुवाकोट,1
हुम्ला,1
अछाम,1
झापा,1
